chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,position
,,58786,0,0,0,0,0,2,1.1,1.6,0,Martin,0.0,135,False,,,45,58786.jpg,0.0,Kelly,1.3,False,,a,Crystal Palace,31,0,330,330,4333,4333,0.0,0.0,Kelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,211,81,203,81,158,63,217,81,,,,,,,Defender
0.0,0.0,59125,0,0,0,0,0,4,0.0,0.0,0,Connor,0.0,136,False,Unknown - Unknown return date,2020-09-06T03:00:11.034332Z,45,59125.jpg,0.0,Wickham,1.4,False,,i,Crystal Palace,31,0,2141,2141,5774,5774,0.0,0.0,Wickham,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,213,19,205,21,160,22,219,22,,,,,,,Forward
,,60252,0,0,0,0,1,3,1.6,2.1,8,Andros,8.0,137,True,,,60,60252.jpg,8.0,Townsend,0.5,False,,a,Crystal Palace,31,8,5248,5248,1302,1302,1.3,1.3,Townsend,90,0,1,1,0,0,0,0,0,0,0,2,26,28.4,33.7,2.0,6.4,23,9,11,8,94,48,30,16,3.0,,3.0,,4.0,,Midfielder
,,66975,0,0,0,0,0,3,1.6,2.1,1,Luka,1.0,138,False,,,60,66975.jpg,1.0,Milivojevic,1.0,False,,a,Crystal Palace,31,1,484,484,2701,2701,0.2,0.2,Milivojevic,16,0,0,0,0,0,0,0,0,0,0,0,6,6.0,28.3,0.0,3.4,116,47,13,9,457,174,65,29,1.0,,1.0,,1.0,,Midfielder
0.0,0.0,74230,0,0,0,0,0,2,0.0,0.0,0,Patrick,0.0,139,False,Shoulder Dislocation - Unknown return date,2020-08-15T10:00:11.682747Z,55,74230.jpg,0.0,van Aanholt,0.1,False,,i,Crystal Palace,31,0,56,56,434,434,0.0,0.0,van Aanholt,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,409,175,411,175,397,172,413,175,2.0,,2.0,,2.0,,Defender
,,80146,0,0,0,0,0,4,1.3,1.8,2,Jordan,2.0,140,False,,,60,80146.jpg,2.0,Ayew,6.7,False,,a,Crystal Palace,31,2,6631,6631,17475,17475,0.3,0.3,Ayew,90,0,0,1,0,0,0,0,0,0,0,0,-7,9.2,0.8,19.0,2.9,95,7,119,15,45,14,72,14,,,,,,,Forward
,,82403,0,0,0,0,0,3,1.9,2.4,8,Wilfried,8.0,141,False,,,70,82403.jpg,8.0,Zaha,8.6,False,,a,Crystal Palace,31,8,20777,20777,12920,12920,1.1,1.1,Zaha,90,1,0,1,0,0,0,0,0,0,0,0,18,31.6,1.4,21.0,5.4,21,8,104,66,38,21,35,18,,,,,,,Midfielder
,,86417,0,0,0,0,0,3,1.3,1.8,2,Jeffrey,2.0,142,False,,,55,86417.jpg,2.0,Schlupp,0.1,False,,a,Crystal Palace,31,2,120,120,216,216,0.4,0.4,Schlupp,80,0,0,1,0,0,0,0,1,0,0,0,3,1.2,0.1,0.0,0.1,151,73,148,79,403,143,162,81,,,,,,,Midfielder
,,141020,0,0,0,0,0,3,0.9,1.4,0,Max,0.0,143,False,,,50,141020.jpg,0.0,Meyer,0.1,False,,a,Crystal Palace,31,0,65,65,222,222,0.0,0.0,Meyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,349,122,348,122,328,105,354,124,,,,,,,Midfielder
,,173954,0,0,0,0,0,3,0.5,1.0,0,Jairo,0.0,144,False,,,45,173954.jpg,0.0,Riedewald,0.2,False,,a,Crystal Palace,31,0,175,175,469,469,0.0,0.0,Riedewald,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,258,86,252,87,217,62,264,89,,,,,,,Midfielder
0.0,0.0,232423,0,0,0,0,0,2,0.0,0.0,0,Nathan,0.0,145,False,Knee injury - Unknown return date,2020-08-26T09:30:07.992498Z,40,232423.jpg,0.0,Ferguson,1.8,False,,i,Crystal Palace,31,0,1140,1140,3374,3374,0.0,0.0,Ferguson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,179,62,171,62,122,41,186,62,,,,,,,Defender
,,244723,0,0,0,0,0,2,0.5,1.0,6,Tyrick,6.0,146,False,,,40,244723.jpg,6.0,Mitchell,14.8,False,,a,Crystal Palace,31,6,58843,58843,5144,5144,1.5,1.5,Mitchell,90,0,0,1,0,0,0,0,0,0,0,0,23,17.6,0.7,0.0,1.8,58,27,121,35,124,43,107,37,,,,,,,Defender
,,466955,0,0,0,0,0,3,0.5,1.0,0,Brandon,0.0,147,False,,,45,466955.jpg,0.0,Pierrick,0.1,False,,a,Crystal Palace,31,0,149,149,308,308,0.0,0.0,Pierrick,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,299,103,294,104,265,82,305,106,,,,,,,Midfielder
,,19188,0,0,0,0,0,2,1.1,1.6,7,Scott,7.0,486,False,,,45,19188.jpg,7.0,Dann,0.8,False,,a,Crystal Palace,31,7,9273,9273,1834,1834,1.6,1.6,Dann,90,0,0,1,0,0,0,0,0,0,0,1,24,15.6,0.4,8.0,2.4,68,34,129,41,56,9,89,29,,,,,,,Defender
100.0,75.0,232413,0,0,0,0,0,3,1.6,1.6,1,Eberechi,1.0,489,False,,2020-09-06T03:00:11.308404Z,60,232413.jpg,1.0,Eze,0.6,False,,a,Crystal Palace,31,1,1605,1605,1661,1661,0.2,0.2,Eze,9,0,0,0,0,0,0,0,0,0,0,0,3,4.4,8.8,4.0,1.7,126,53,63,35,77,44,119,54,,,,,,,Midfielder
,,221272,0,0,0,0,0,2,0.5,1.0,0,Sam,0.0,522,False,,,40,221272.jpg,0.0,Woods,0.2,False,,a,Crystal Palace,31,0,2665,2665,362,362,0.0,0.0,Woods,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,177,60,169,60,119,38,184,60,,,,,,,Defender
,,20467,0,0,0,0,0,3,2.6,1.6,0,Theo,0.0,148,False,,,60,20467.jpg,0.0,Walcott,0.3,False,,a,Everton,11,0,607,607,872,872,0.0,0.0,Walcott,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,453,173,454,174,447,169,455,174,4.0,,,,,,Midfielder
75.0,50.0,41823,0,0,0,0,0,3,1.4,0.4,0,Fabian,0.0,149,False,Lack of match fitness - 75% chance of playing,2020-09-10T13:00:10.111328Z,50,41823.jpg,0.0,Delph,0.1,False,,d,Everton,11,0,29,29,310,310,0.0,0.0,Delph,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,306,105,303,106,275,85,312,108,,,,,,,Midfielder
,,55422,0,0,0,0,0,3,2.9,1.9,1,Gylfi,1.0,150,False,,,70,55422.jpg,1.0,Sigurdsson,1.7,False,,a,Everton,11,1,1008,1008,3131,3131,0.1,0.1,Sigurdsson,22,0,0,0,0,0,0,0,0,0,0,0,3,2.4,0.3,0.0,0.3,141,65,142,78,503,199,154,75,2.0,,2.0,,1.0,,Midfielder
,,57513,0,0,0,0,0,1,2.2,1.2,0,Jonas,0.0,151,False,,,45,57513.jpg,0.0,Lössl,0.2,False,,a,Everton,11,0,159,159,267,267,0.0,0.0,Lössl,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,210,31,201,19,156,19,216,31,,,,,,,Goalkeeper
,,59949,0,0,0,0,0,2,2.6,1.6,6,Seamus,6.0,152,False,,,50,59949.jpg,6.0,Coleman,0.9,False,,a,Everton,11,6,6795,6795,1510,1510,1.2,1.2,Coleman,90,0,0,1,0,0,0,0,0,0,0,0,28,26.0,12.1,7.0,4.5,28,9,46,12,60,11,43,11,,,,,,,Defender
0.0,0.0,66838,0,0,0,0,0,4,0.0,0.0,0,Cenk,0.0,153,False,Knee injury - Unknown return date,2020-08-15T10:00:11.707165Z,60,66838.jpg,0.0,Tosun,0.0,False,,i,Everton,11,0,37,37,45,45,0.0,0.0,Tosun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,462,44,463,45,456,45,464,45,,,,,,,Forward
,,100649,0,0,0,0,0,3,2.6,1.6,0,Bernard,0.0,154,False,,,60,100649.jpg,0.0,Anício Caldeira Duarte,0.2,False,,a,Everton,11,0,395,395,640,640,0.0,0.0,Bernard,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,470,182,470,183,465,179,472,183,3.0,,3.0,,,,Midfielder
,,101188,0,0,0,0,1,2,3.4,2.4,12,Lucas,12.0,155,True,,,60,101188.jpg,12.0,Digne,7.7,False,,a,Everton,11,12,31789,31789,6777,6777,2.0,2.0,Digne,90,0,1,1,0,0,0,0,0,0,0,3,38,37.8,19.9,0.0,5.8,15,4,21,6,466,188,34,8,1.0,,1.0,,,,Defender
,,106611,0,0,0,0,0,2,2.6,1.6,6,Michael,6.0,156,False,,,50,106611.jpg,6.0,Keane,1.9,False,,a,Everton,11,6,3817,3817,1955,1955,1.2,1.2,Keane,90,0,0,1,0,0,0,0,0,0,0,0,29,25.8,0.1,0.0,2.6,29,10,146,49,313,141,85,28,,,,,,,Defender
,,111234,0,0,0,0,0,1,3.0,2.0,8,Jordan,8.0,157,False,,,50,111234.jpg,8.0,Pickford,5.4,False,,a,Everton,11,8,19525,19525,4358,4358,1.6,1.6,Pickford,90,0,0,1,0,0,0,0,0,0,5,1,32,38.4,0.0,0.0,3.8,13,2,341,45,320,45,56,2,,,,,,,Goalkeeper
,,120250,0,0,0,0,0,3,2.3,1.3,3,André Filipe,3.0,158,False,,,55,120250.jpg,3.0,Tavares Gomes,0.4,False,,a,Everton,11,3,1220,1220,873,873,0.5,0.5,André Gomes,67,0,0,1,0,0,0,0,0,0,0,0,11,3.8,3.3,20.0,2.7,128,55,80,48,42,24,80,37,,,,,,,Midfielder
,,153133,0,0,0,0,0,3,2.6,1.6,0,Alex,0.0,159,False,,,60,153133.jpg,0.0,Iwobi,0.2,False,,a,Everton,11,0,333,333,700,700,0.0,0.0,Iwobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,479,186,480,187,476,183,481,187,,,,,,,Midfielder
,,153673,0,0,0,0,0,2,2.1,1.1,0,Jonjoe,0.0,160,False,,,45,153673.jpg,0.0,Kenny,0.2,False,,a,Everton,11,0,437,437,673,673,0.0,0.0,Kenny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,251,106,244,106,207,93,257,106,,,,,,,Defender
0.0,0.0,160987,0,0,0,0,0,3,0.0,0.0,0,Jean-Philippe,0.0,161,False,Achilles injury - Unknown return date,2020-08-15T10:00:11.729677Z,50,160987.jpg,0.0,Gbamin,0.0,False,,i,Everton,11,0,8,8,7,7,0.0,0.0,Gbamin,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,356,126,355,126,337,110,361,128,,,,,,,Midfielder
,,164511,0,0,0,0,0,2,3.0,2.0,6,Yerry,6.0,162,False,,,55,164511.jpg,6.0,Mina,1.1,False,,a,Everton,11,6,3010,3010,1464,1464,1.1,1.1,Mina,90,0,0,1,0,0,0,0,0,0,0,0,27,21.2,0.4,1.0,2.3,42,18,132,42,98,27,94,30,,,,,,,Defender
,,173807,0,0,0,0,0,3,2.3,1.3,1,Tom,1.0,163,False,,,55,173807.jpg,1.0,Davies,0.2,False,,a,Everton,11,1,230,230,379,379,0.2,0.2,Davies,1,0,0,0,0,0,0,0,0,0,0,0,4,2.0,0.0,0.0,0.2,147,69,439,166,431,160,158,78,,,,,,,Midfielder
,,177815,0,0,0,0,0,4,2.8,1.8,8,Dominic,8.0,164,False,,,70,177815.jpg,8.0,Calvert-Lewin,7.4,False,,a,Everton,11,8,39486,39486,9866,9866,1.1,1.1,Calvert-Lewin,88,1,0,1,0,0,0,0,0,0,0,2,34,38.4,13.7,34.0,8.6,14,4,37,5,22,9,14,5,,,,,,,Forward
25.0,25.0,194164,0,0,0,0,0,2,0.7,0.4,0,Mason,0.0,165,False,Toe Injury - 25% chance of playing,2020-09-06T01:30:17.999031Z,50,194164.jpg,0.0,Holgate,0.1,False,,d,Everton,11,0,41,41,685,685,0.0,0.0,Holgate,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,362,158,362,158,346,155,367,158,,,,,,,Defender
,,212319,0,0,0,0,0,4,3.3,2.3,2,Richarlison,2.0,166,False,,,80,212319.jpg,2.0,de Andrade,10.3,False,,a,Everton,11,2,17804,17804,16887,16887,0.2,0.2,Richarlison,90,0,0,1,0,0,0,0,0,0,0,0,17,25.2,13.8,67.0,10.6,31,6,36,4,3,1,5,2,,,,,,,Forward
,,222627,0,0,0,0,0,1,2.2,1.2,0,João,0.0,167,False,,,45,222627.jpg,0.0,Virgínia,0.1,False,,a,Everton,11,0,34,34,137,137,0.0,0.0,Virgínia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,281,44,275,35,245,35,287,44,,,,,,,Goalkeeper
,,232826,0,0,0,0,0,3,1.5,0.5,0,Anthony,0.0,168,False,,,45,232826.jpg,0.0,Gordon,0.8,False,,a,Everton,11,0,616,616,1438,1438,0.0,0.0,Gordon,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,287,96,281,97,252,75,293,99,,,,,,,Midfielder
,,242058,0,0,0,0,0,4,2.3,1.3,1,Moise,1.0,169,False,,,60,242058.jpg,1.0,Kean,0.5,False,,a,Everton,11,1,1210,1210,1666,1666,0.2,0.2,Kean,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,4.0,0.4,489,55,490,55,78,17,150,18,,,,,,,Forward
,,480455,0,0,0,0,0,2,1.5,0.5,0,Jarrad,0.0,170,False,,,40,480455.jpg,0.0,Branthwaite,4.2,False,,a,Everton,11,0,2799,2799,6432,6432,0.0,0.0,Branthwaite,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,185,68,177,68,129,48,192,68,,,,,,,Defender
,,119765,0,0,0,0,0,3,2.3,1.3,3,Allan,3.0,502,False,,,55,119765.jpg,3.0,Marques Loureiro,1.6,False,,a,Everton,11,3,7968,7968,3709,3709,0.5,0.5,Allan,90,0,0,1,0,0,0,0,0,0,0,0,16,18.0,2.4,0.0,2.0,55,16,93,57,412,148,105,49,,,,,,,Midfielder
,,60025,0,0,0,0,0,3,3.1,2.1,3,James,3.0,508,False,,,75,60025.jpg,3.0,Rodríguez,9.0,False,,a,Everton,11,3,34912,34912,14210,14210,0.4,0.4,Rodríguez,90,0,0,1,0,0,0,0,0,0,0,0,16,16.0,58.6,23.0,9.8,66,19,2,1,34,18,11,7,,,,,,,Midfielder
,,121599,0,0,0,0,0,3,2.3,1.3,3,Abdoulaye,3.0,512,False,,,55,121599.jpg,3.0,Doucouré,2.5,False,,a,Everton,11,3,5579,5579,4175,4175,0.5,0.5,Doucouré,90,0,0,1,0,0,0,0,0,0,0,0,20,20.4,44.6,4.0,6.9,46,14,7,6,75,42,27,14,,,,,,,Midfielder
,,40559,0,0,0,0,0,1,1.0,0.0,0,Fabricio,0.0,171,False,,,40,40559.jpg,0.0,Agosto Ramírez,2.1,False,,a,Fulham,54,0,1367,1367,1511,1511,0.0,0.0,Fabri,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,159,15,151,3,101,3,166,15,,,,,,,Goalkeeper
,,55038,0,0,0,0,0,3,1.4,0.4,0,Kevin,0.0,172,False,,,50,55038.jpg,0.0,McDonald,0.1,False,,a,Fulham,54,0,45,45,383,383,0.0,0.0,McDonald,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,311,108,308,109,282,90,317,111,,,,,,,Midfielder
,,61739,0,0,0,0,0,2,1.6,0.6,0,Maxime,0.0,173,False,,,45,61739.jpg,0.0,Le Marchand,0.2,False,,a,Fulham,54,0,35,35,746,746,0.0,0.0,Le Marchand,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,216,83,208,83,164,66,222,83,,,,,,,Defender
,,61916,0,0,0,0,0,3,1.4,0.4,0,Stefan,0.0,174,False,,,50,61916.jpg,0.0,Johansen,0.1,False,,a,Fulham,54,0,17,17,241,241,0.0,0.0,Johansen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,318,111,315,111,291,93,323,113,4.0,,,,,,Midfielder
,,76357,0,0,0,0,0,3,1.8,0.8,1,Tom,1.0,175,False,,,55,76357.jpg,1.0,Cairney,0.3,False,,a,Fulham,54,1,228,228,1002,1002,0.2,0.2,Cairney,90,0,0,0,3,0,0,0,1,0,0,0,11,7.0,10.2,0.0,1.7,110,43,61,33,398,141,117,53,,,4.0,,,,Midfielder
,,82514,0,0,0,0,0,2,1.6,0.6,1,Tim,1.0,176,False,,,45,82514.jpg,1.0,Ream,0.2,False,,a,Fulham,54,1,495,495,432,432,0.2,0.2,Ream,90,0,0,0,3,0,0,0,0,0,0,0,16,16.4,0.8,0.0,1.7,64,32,117,33,175,73,112,39,,,,,,,Defender
,,83543,0,0,0,0,0,3,1.8,0.8,0,Anthony,0.0,177,False,,,55,83543.jpg,0.0,Knockaert,0.2,False,,a,Fulham,54,0,56,56,926,926,0.0,0.0,Knockaert,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,413,152,415,152,402,142,417,153,1.0,,3.0,,,,Midfielder
,,84915,0,0,0,0,0,2,1.6,0.6,0,Michael,0.0,178,False,,,45,84915.jpg,0.0,Hector,0.3,False,,a,Fulham,54,0,499,499,891,891,0.0,0.0,Hector,90,0,0,0,3,0,0,0,1,0,0,0,12,16.8,0.6,0.0,1.7,62,30,124,38,178,75,113,40,,,,,,,Defender
,,87107,0,0,0,0,0,2,1.6,0.6,0,Cyrus,0.0,179,False,,,45,87107.jpg,0.0,Christie,0.2,False,,a,Fulham,54,0,67,67,539,539,0.0,0.0,Christie,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,228,91,220,91,181,77,234,91,,,,,,,Defender
,,92259,0,0,0,0,0,3,1.4,0.4,2,Neeskens,2.0,180,False,,,50,92259.jpg,2.0,Kebano,0.2,False,,a,Fulham,54,2,390,390,514,514,0.4,0.4,Kebano,62,0,0,0,3,0,0,0,0,0,0,0,7,1.0,2.7,18.0,2.2,152,74,88,54,48,28,100,46,5.0,,1.0,,,,Midfielder
,,96994,0,0,0,0,0,4,1.5,0.5,1,Bobby,1.0,181,False,,,55,96994.jpg,1.0,Decordova-Reid,0.2,False,,a,Fulham,54,1,436,436,764,764,0.2,0.2,Decordova-Reid,15,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.4,2.0,0.2,418,34,131,17,89,19,157,20,,,,,,,Forward
,,101105,0,0,0,0,0,2,2.1,1.1,1,Joe,1.0,182,False,,,50,101105.jpg,1.0,Bryan,1.1,False,,a,Fulham,54,1,772,772,3063,3063,0.2,0.2,Bryan,90,0,0,0,3,0,0,0,0,0,0,0,12,10.6,4.3,0.0,1.5,89,40,75,18,310,138,121,43,3.0,,5.0,,,,Defender
0.0,0.0,122074,0,0,0,0,0,1,0.0,0.0,0,Marcus,0.0,183,False,Joined Middlesbrough on loan until the end of the season on 10/9. - Expected back 01 Jul,2020-09-10T14:30:11.949431Z,45,122074.jpg,0.0,Bettinelli,0.1,False,,n,Fulham,54,0,7,7,671,671,0.0,0.0,Bettinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,244,41,237,31,199,31,250,41,,,,,,,Goalkeeper
,,128389,0,0,0,0,0,4,1.8,0.8,1,Aleksandar,1.0,184,False,,,60,128389.jpg,1.0,Mitrović,23.3,False,,a,Fulham,54,1,12100,12100,64941,64941,0.2,0.2,Mitrović,27,0,0,0,0,0,0,0,0,0,0,0,3,3.0,0.3,7.0,1.0,134,15,140,19,62,16,135,16,,,2.0,,1.0,,Forward
0.0,0.0,149266,0,0,0,0,0,2,0.0,0.0,0,Alfie,0.0,185,False,Joined Bristol City on loan until the end of the season on 6/9. - Expected back 01 Jul,2020-09-07T02:00:12.698046Z,45,149266.jpg,0.0,Mawson,0.0,False,,n,Fulham,54,0,7,7,202,202,0.0,0.0,Mawson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,247,104,240,104,202,91,253,104,,,,,,,Defender
,,155529,0,0,0,0,0,1,1.7,0.7,1,Marek,1.0,186,False,,,45,155529.jpg,1.0,Rodák,0.6,False,,a,Fulham,54,1,1433,1433,906,906,0.2,0.2,Rodák,90,0,0,0,3,0,0,0,0,0,2,0,11,18.2,0.0,0.0,1.8,54,7,246,33,209,33,108,7,,,,,,,Goalkeeper
,,166324,0,0,0,0,0,3,1.8,0.8,2,Ivan Ricardo,2.0,187,False,,,55,166324.jpg,2.0,Neves Abreu Cavaleiro,0.2,False,,a,Fulham,54,2,243,243,387,387,0.4,0.4,Cavaleiro,90,0,0,0,3,0,0,0,0,0,0,0,10,7.4,26.4,0.0,3.4,105,40,15,10,423,156,64,28,2.0,,,,,,Midfielder
,,168765,0,0,0,0,0,3,1.4,0.4,2,Josh,2.0,188,False,,,50,168765.jpg,2.0,Onomah,0.2,False,,a,Fulham,54,2,330,330,499,499,0.4,0.4,Onomah,74,0,0,0,3,0,0,0,0,0,0,0,3,8.2,3.1,0.0,1.1,101,38,83,51,339,112,131,61,,,,,,,Midfielder
,,170271,0,0,0,0,0,3,1.4,0.4,0,Jean Michaël,0.0,189,False,,,50,170271.jpg,0.0,Seri,0.1,False,,a,Fulham,54,0,50,50,746,746,0.0,0.0,Seri,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,358,128,357,128,340,113,363,130,,,,,,,Midfielder
,,197030,0,0,0,0,0,3,1.4,0.4,2,Aboubakar,2.0,190,False,,,50,197030.jpg,2.0,Kamara,0.1,False,,a,Fulham,54,2,736,736,517,517,0.4,0.4,Kamara,62,0,0,0,3,0,0,0,0,0,0,0,-2,0.0,1.8,5.0,0.2,368,133,99,63,68,39,156,77,,,,,2.0,,Midfielder
,,203325,0,0,0,0,0,3,1.0,0.0,1,André-Frank,1.0,191,False,,,45,203325.jpg,1.0,Zambo Anguissa,0.8,False,,a,Fulham,54,1,883,883,1452,1452,0.2,0.2,Anguissa,27,0,0,0,0,0,0,0,0,0,0,0,4,14.4,11.8,0.0,2.6,71,22,47,28,230,65,83,40,,,,,,,Midfielder
0.0,0.0,208998,0,0,0,0,0,2,0.0,0.0,0,Zeze Steven,0.0,192,False,Joined Bristol City on loan until the end of the season on 7/9. - Expected back 01 Jul,2020-09-08T09:30:15.158422Z,45,208998.jpg,0.0,Sessegnon,0.1,False,,n,Fulham,54,0,23,23,1583,1583,0.0,0.0,Sessegnon,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,272,121,266,121,233,111,278,121,,,,,,,Defender
,,153366,0,0,0,0,0,3,1.0,0.0,2,Harrison,2.0,373,False,,,45,153366.jpg,2.0,Reed,1.2,False,,a,Fulham,54,2,4940,4940,2366,2366,0.4,0.4,Reed,90,0,0,0,3,0,0,0,0,0,0,0,14,12.6,4.5,0.0,1.7,82,29,72,43,205,59,114,51,,,,,,,Midfielder
,,169528,0,0,0,0,0,2,1.6,0.6,0,Antonee,0.0,484,False,,,45,169528.jpg,0.0,Robinson,0.1,False,,a,Fulham,54,0,51,51,421,421,0.0,0.0,Robinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,256,111,250,111,214,99,262,111,,,,,,,Defender
,,151086,0,0,0,0,0,3,1.0,0.0,0,Mario,0.0,493,False,,,45,151086.jpg,0.0,Lemina,1.3,False,,a,Fulham,54,0,766,766,2976,2976,0.0,0.0,Lemina,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,248,83,241,84,203,58,254,86,,,,,,,Midfielder
,,84182,0,0,0,0,0,1,1.7,0.7,0,Alphonse,0.0,516,False,,,45,84182.jpg,0.0,Areola,1.4,False,,a,Fulham,54,0,3282,3282,3447,3447,0.0,0.0,Areola,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,226,36,218,25,177,25,232,36,,,,,,,Goalkeeper
,,167074,0,0,0,0,0,2,1.6,0.6,0,Kenny,0.0,517,False,,,45,167074.jpg,0.0,Tete,0.1,False,,a,Fulham,54,0,214,214,512,512,0.0,0.0,Tete,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,254,109,248,109,212,97,260,109,,,,,,,Defender
,,72681,0,0,0,0,0,2,1.6,0.6,1,Denis,1.0,525,False,,,45,72681.jpg,1.0,Odoi,0.0,False,,a,Fulham,54,1,637,637,117,117,0.2,0.2,Odoi,90,0,0,0,3,0,0,0,0,0,0,0,12,11.4,2.6,7.0,2.1,86,39,89,22,59,10,101,35,,,,,,,Defender
75.0,75.0,15033,0,0,0,0,0,2,1.6,2.0,0,Wes,0.0,216,False,Hamstring injury - 75% chance of playing,2020-08-30T10:00:09.559000Z,45,15033.jpg,0.0,Morgan,0.1,False,,d,Leicester,13,0,101,101,431,431,0.0,0.0,Morgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,186,69,178,69,130,49,193,69,,,,,,,Defender
,,17745,0,0,0,0,0,1,3.7,4.2,6,Kasper,6.0,217,False,,,55,17745.jpg,6.0,Schmeichel,14.4,False,,a,Leicester,13,6,9611,9611,9335,9335,1.1,1.1,Schmeichel,90,0,0,1,0,0,0,0,0,0,1,0,21,12.2,0.0,0.0,1.2,85,10,391,47,377,47,129,10,,,,,,,Goalkeeper
100.0,50.0,37402,0,0,0,0,0,2,2.1,1.3,0,Christian,0.0,218,False,,2020-08-15T10:00:11.758506Z,45,37402.jpg,0.0,Fuchs,0.0,False,,a,Leicester,13,0,146,146,95,95,0.0,0.0,Fuchs,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,196,73,188,73,140,53,203,73,,,2.0,,,,Defender
0.0,0.0,37642,0,0,0,0,0,2,0.0,0.0,0,Jonny,0.0,219,False,Suspended until 26 Sep,2020-08-15T10:00:11.782354Z,55,37642.jpg,0.0,Evans,0.1,False,,s,Leicester,13,0,83,83,398,398,0.0,0.0,Evans,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,396,170,397,170,382,167,400,170,,,,,,,Defender
,,46483,0,0,0,0,0,3,1.5,2.0,0,Adrien,0.0,220,False,,,45,46483.jpg,0.0,Silva,0.7,False,,a,Leicester,13,0,1082,1082,1610,1610,0.0,0.0,Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,205,80,197,82,150,53,212,84,,,,,,,Midfielder
